Price,Address,Rent Estimate,Beds,Baths,Sq. Ft,Home Type
,"Oakwood St Se # S-72, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-45, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-65, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-61, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-74, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-63, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-48, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-62, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-73, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-50, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-71, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-49, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
,"Oakwood St Se # S-60, Washington, DC 20032",*Rental Value Coming Soon,,,,Condo
"$726,841","Pennsylvania Ave Se, Washington, DC 20003",$2520/m Estimated Rental Value,3 bed,1 bath,"1,192 sqft.",Townhome
"$492,001","P St Nw, Washington, DC 20036",$3470/m Estimated Rental Value,4 bed,4 bath,"3,202 sqft.",Multi-Family
"$639,000","K St Nw, Washington, DC 20001",$2770/m Estimated Rental Value,4 bed,3 bath,"1,360 sqft.",Multi-Family
,"R St Ne # A, Washington, DC 20002",*Rental Value Coming Soon,3 bed,4 bath,"1,484 sqft.",Condo
"$826,943","Emerald St Ne, Washington, DC 20002",$2660/m Estimated Rental Value,3 bed,2 bath,"1,324 sqft.",Townhome
"$300,091","Texas Ave Se, Washington, DC 20019",$1530/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Townhome
"$405,900","Taylor St Ne, Washington, DC 20017",$2140/m Estimated Rental Value,3 bed,2 bath,"1,088 sqft.",Townhome
"$651,892","Shepherd St Ne, Washington, DC 20017",$2230/m Estimated Rental Value,3 bed,1 bath,930 sqft.,Single-Family
,"Woodcrest Dr Se, Washington, DC 20032",*Rental Value Coming Soon,3 bed,4 bath,"1,610 sqft.",Townhome
"$503,058","4th St Ne Apt 1, Washington, DC 20002",$1920/m Estimated Rental Value,2 bed,2 bath,954 sqft.,Condo
"$394,525","Dexter Ter Se, Washington, DC 20020",$1570/m Estimated Rental Value,2 bed,1 bath,900 sqft.,Townhome
"$756,661","Randolph St Nw, Washington, DC 20011",$2750/m Estimated Rental Value,,,,
"$226,182","50th Pl Ne, Washington, DC 20019",$1790/m Estimated Rental Value,,,,Single-Family
"$937,530","12th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,2.5 bath,"1,638 sqft.",Single-Family
"$810,530","Shepherd St Nw, Washington, DC 20011",$2790/m Estimated Rental Value,5 bed,2.5 bath,"2,112 sqft.",Townhome
,"8th St Nw Apt 307, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$735,608","A St Ne, Washington, DC 20002",$2400/m Estimated Rental Value,3 bed,2.5 bath,"1,512 sqft.",Single-Family
,"Quarles St Ne, Washington, DC 20019",*Rental Value Coming Soon,,,,
"$567,680","7th St Nw, Washington, DC 20011",$2500/m Estimated Rental Value,3 bed,1 bath,"1,080 sqft.",Single-Family
,"H St Ne # 205, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$663,289","Emerson St Nw, Washington, DC 20011",$2480/m Estimated Rental Value,3 bed,1 bath,"1,280 sqft.",Single-Family
"$395,000","17th St Nw Apt 504, Washington, DC 20009",*Rental Value Coming Soon,1 bed,1 bath,800 sqft.,Co-Op
"$448,649","B St Se, Washington, DC 20019",$1760/m Estimated Rental Value,,,,Single-Family
"$785,390","13th St Ne, Washington, DC 20017",$2330/m Estimated Rental Value,3 bed,2 bath,"1,435 sqft.",Single-Family
"$637,193","Longfellow St Nw, Washington, DC 20011",$2500/m Estimated Rental Value,,,,
"$770,907","Madison St Nw, Washington, DC 20011",$2980/m Estimated Rental Value,3 bed,2 bath,"1,682 sqft.",Single-Family
"$883,000","Clifton St Nw, Washington, DC 20009",$2920/m Estimated Rental Value,5 bed,2 bath,"3,131 sqft.",Single-Family
"$503,001","21st St Ne, Washington, DC 20002",$2430/m Estimated Rental Value,5 bed,4 bath,"2,720 sqft.",Multi-Family
"$334,669","Cathedral Ave Nw Apt 616e, Washington, DC 20016",$2050/m Estimated Rental Value,,,,Condo
"$132,029","Ridge Rd Se Apt 206, Washington, DC 20019",$1440/m Estimated Rental Value,2 bed,1 bath,,Condo
"$501,955","Tuckerman St Nw, Washington, DC 20011",$2440/m Estimated Rental Value,3 bed,1.5 bath,"1,088 sqft.",Single-Family
,"Falls Ter Se Apt 4, Washington, DC 20019",*Rental Value Coming Soon,,,,
"$362,941","Fort Davis Pl Se, Washington, DC 20020",$1550/m Estimated Rental Value,3 bed,1.5 bath,"1,024 sqft.",Townhome
"$653,400","Kansas Ave Nw, Washington, DC 20011",$2360/m Estimated Rental Value,3 bed,2 bath,"1,152 sqft.",Townhome
"$448,965","Hanna Pl Se, Washington, DC 20019",$1420/m Estimated Rental Value,2 bed,1 bath,896 sqft.,Townhome
"$653,973","New York Ave Nw Unit 6, Washington, DC 20001",$2240/m Estimated Rental Value,2 bed,2.5 bath,,Condo
"$873,626","9th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,1.5 bath,"1,576 sqft.",Single-Family
"$271,000","Parkland Pl Se, Washington, DC 20032",$1770/m Estimated Rental Value,,,,Multi-Family
"$506,949","Irving St Nw, Washington, DC 20010",$2510/m Estimated Rental Value,3 bed,1 bath,"1,088 sqft.",Single-Family
"$1,158,000","Chapin St Nw, Washington, DC 20009",$3230/m Estimated Rental Value,6 bed,3.5 bath,"2,706 sqft.",Multi-Family
,"Bruce Pl Se Apt 201, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$573,728","2nd St Ne, Washington, DC 20002",$1890/m Estimated Rental Value,2 bed,2 bath,"1,202 sqft.",Single-Family
"$489,143","Barnaby St Se, Washington, DC 20032",$1430/m Estimated Rental Value,3 bed,2.5 bath,"1,646 sqft.",Single-Family
,"Willow St Nw # 314, Washington, DC 20012",*Rental Value Coming Soon,,,,
,"Rhode Island Ave Ne # 513, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$406,672","Central Ave Se, Washington, DC 20019",$1388/m Estimated Rental Value,2 bed,1.5 bath,996 sqft.,Single-Family
,"Morse St Ne # No621, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$409,052","Danbury St Sw, Washington, DC 20032",$1500/m Estimated Rental Value,,,,
,"7th St Nw Apt 5, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$764,699","Illinois Ave Nw, Washington, DC 20011",$2760/m Estimated Rental Value,4 bed,2 bath,"1,680 sqft.",Single-Family
"$1,138,500","Kenyon St Nw, Washington, DC 20010",$3360/m Estimated Rental Value,6 bed,3 bath,"3,456 sqft.",Single-Family
,"Kennedy St Nw, Washington, DC 20011",*Rental Value Coming Soon,,1.5 bath,,Commercial
"$2,054,400","Mckinley St Nw, Washington, DC 20015",$43914/m Estimated Rental Value,3 bed,2.5 bath,"1,894 sqft.",Single-Family
,"Ridge Rd Se, Washington, DC 20019",*Rental Value Coming Soon,2 bed,1 bath,720 sqft.,Condo
"$407,782","33rd St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Single-Family
,"Adams St Ne # 102, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$841,998","Eastern Ave Ne, Washington, DC 20011",$3260/m Estimated Rental Value,3 bed,2.5 bath,"1,682 sqft.",Single-Family
"$4,314,366","Wyoming Ave Nw, Washington, DC 20008",$7761/m Estimated Rental Value,,,,Commercial
"$1,210,377","29th St Nw, Washington, DC 20015",$4140/m Estimated Rental Value,4 bed,3.5 bath,"1,508 sqft.",Single-Family
"$524,089","Fort Lincoln Dr Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$676,145","I St Ne, Washington, DC 20002",$2320/m Estimated Rental Value,3 bed,1.5 bath,"1,310 sqft.",Single-Family
,"H St Ne # 849, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$531,869","Highwood Dr Se, Washington, DC 20020",$2140/m Estimated Rental Value,3 bed,1.5 bath,"1,600 sqft.",Single-Family
"$394,293","41st St Se, Washington, DC 20020",$2060/m Estimated Rental Value,3 bed,1.5 bath,"1,160 sqft.",Single-Family
"$3,669,493","Western Ave Nw, Washington, DC 20015",$6880/m Estimated Rental Value,,,,
"$455,994","Oglethorpe St Ne, Washington, DC 20011",$2250/m Estimated Rental Value,3 bed,1.5 bath,"1,123 sqft.",Single-Family
"$586,642","Longfellow St Nw, Washington, DC 20011",$2600/m Estimated Rental Value,,,,
"$348,088","Branch Ave Se, Washington, DC 20019",$2040/m Estimated Rental Value,3 bed,1 bath,992 sqft.,Single-Family
,"16th St Nw, Unit T02, Washington, DC 20036",*Rental Value Coming Soon,,,,
"$309,771","49th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1 bath,"1,355 sqft.",Single-Family
,"4th St Se, #e 302, Washington, DC 20024",*Rental Value Coming Soon,,,,
,"Rhode Island Ave Ne, U..., Washington, DC 20002",*Rental Value Coming Soon,,,,
,"Savannah St Se Apt 304, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$414,885","Barnaby St Se, Washington, DC 20032",$1400/m Estimated Rental Value,4 bed,2.5 bath,"2,092 sqft.",Single-Family
"$556,937","Ord St Ne, Washington, DC 20019",$1920/m Estimated Rental Value,4 bed,2.5 bath,"2,888 sqft.",Single-Family
"$491,217","Highwood Pl Se, Washington, DC 20020",$2140/m Estimated Rental Value,3 bed,3.5 bath,"1,576 sqft.",Single-Family
,"Pennsylvania Ave Nw St..., Washington, DC 20004",*Rental Value Coming Soon,,,,
"$3,226,576","Sudbury Ln Nw, Washington, DC 20012",$11554/m Estimated Rental Value,5 bed,4 bath,"3,520 sqft.",Single-Family
,"12th St Nw Ste 700, Washington, DC 20005",*Rental Value Coming Soon,,,,
,"G St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$286,140","Edson Pl Ne, Washington, DC 20019",$1720/m Estimated Rental Value,4 bed,1.5 bath,"1,315 sqft.",Single-Family
"$350,550","Bowen Rd Se Apt 403, Washington, DC 20020",$1490/m Estimated Rental Value,2 bed,1 bath,930 sqft.,Condo
,"New Jersey Ave Nw Apt 809, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$448,748","4th St Sw Apt S120, Washington, DC 20024",$2200/m Estimated Rental Value,,,,
,"15th St Nw Apt 610, Washington, DC 20009",*Rental Value Coming Soon,,,,
"$766,994","Alaska Ave Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,2.5 bath,"1,768 sqft.",Single-Family
,"Livingston Rd Se Apt 202, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Southern Ave Se Apt 801, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Galloway St Ne # 549s, Washington, DC 20011",*Rental Value Coming Soon,,,,
,"Town Center Dr Se, Apt..., Washington, DC 20020",*Rental Value Coming Soon,,,,
"$590,089","N Capitol St Ne, Washington, DC 20011",$2420/m Estimated Rental Value,3 bed,2 bath,"1,240 sqft.",Single-Family
,"23rd St Se Apt 252b, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"Terrace Rd Se Apt B610, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"Maine Ave Sw, # E701, Washington, DC 20024",*Rental Value Coming Soon,,,,
"$745,437","16th St Se, Washington, DC 20003",$2720/m Estimated Rental Value,3 bed,1 bath,960 sqft.,Single-Family
"$632,163","18th St Ne, Washington, DC 20002",$1750/m Estimated Rental Value,3 bed,2 bath,"1,368 sqft.",Single-Family
"$1,108,585","Corcoran St Nw, Washington, DC 20009",$3130/m Estimated Rental Value,3 bed,1 bath,"1,708 sqft.",Single-Family
"$318,927","Newcomb St Se, Washington, DC 20032",$1780/m Estimated Rental Value,2 bed,1.5 bath,"1,232 sqft.",Single-Family
,"Connecticut Ave Nw # 134, Washington, DC 20015",*Rental Value Coming Soon,,,,
"$723,216","Otis St Ne, Washington, DC 20018",$2890/m Estimated Rental Value,4 bed,2.5 bath,"1,656 sqft.",Single-Family
"$732,859","Kansas Ave Nw, Washington, DC 20011",$2640/m Estimated Rental Value,3 bed,1.5 bath,"1,484 sqft.",Single-Family
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"E St Se # 321, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$630,658","Montana Ave Ne, Washington, DC 20018",$2680/m Estimated Rental Value,3 bed,1.5 bath,"1,375 sqft.",Single-Family
"$544,500","9th St Nw, Washington, DC 20011",$2380/m Estimated Rental Value,4 bed,2.5 bath,"1,836 sqft.",Single-Family
,"New York Ave Ne # 609, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$641,092","Sherman Ave Nw, Washington, DC 20001",$2620/m Estimated Rental Value,3 bed,2 bath,"1,080 sqft.",Single-Family
"$302,641","4th St Ne Apt 106, Washington, DC 20002",$1570/m Estimated Rental Value,1 bed,1 bath,,Condo
"$502,110","Oneida St Ne, Washington, DC 20011",$2260/m Estimated Rental Value,3 bed,1 bath,"1,152 sqft.",Single-Family
,"Connecticut Ave Nw Ste..., Washington, DC 20036",*Rental Value Coming Soon,,,,
,"Savannah St Se Apt 204, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$3,870,076","Asbury Pl Nw, Washington, DC 20016",$5200/m Estimated Rental Value,4 bed,3 bath,"2,464 sqft.",Single-Family
"$1,640,502","Asbury Pl Nw, Washington, DC 20016",$43904/m Estimated Rental Value,4 bed,3 bath,"1,813 sqft.",Single-Family
,"Penn St Ne Apt 2, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"Livingston Rd Se, Apt 13, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"17th St Nw, Washington, DC 20036",*Rental Value Coming Soon,,2.5 bath,,Commercial
"$763,000","P St Nw, Washington, DC 20001",$2510/m Estimated Rental Value,4 bed,1 bath,"1,416 sqft.",Single-Family
"$987,017","Pennsylvania Ave Se, Washington, DC 20003",*Rental Value Coming Soon,,1.5 bath,,Commercial
"$623,423","5th St Nw, Washington, DC 20011",$2270/m Estimated Rental Value,3 bed,1 bath,"1,054 sqft.",Single-Family
"$948,000","R St Ne, Washington, DC 20002",$1980/m Estimated Rental Value,4 bed,2 bath,"1,836 sqft.",Multi-Family
"$378,000","R St Se, Washington, DC 20020",$1740/m Estimated Rental Value,,,,
"$551,000","Emerson St Nw, Washington, DC 20011",$3370/m Estimated Rental Value,,,,
"$354,000","17th St Se, Washington, DC 20020",$1740/m Estimated Rental Value,,,,
"$489,000","17th Pl Se, Washington, DC 20020",$1740/m Estimated Rental Value,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$267,000","17th Pl Se, Washington, DC 20020",$1740/m Estimated Rental Value,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$408,000","Raum St Ne, Washington, DC 20002",$1740/m Estimated Rental Value,,,,
"$543,000","3rd St Se, Washington, DC 20003",$5580/m Estimated Rental Value,,,,Multi-Family
"$380,000","9th St Se, Washington, DC 20032",$2220/m Estimated Rental Value,,,,
"$296,000","28th St Se, Washington, DC 20020",$1780/m Estimated Rental Value,,,,Multi-Family
"$283,000","27th St Se, Washington, DC 20020",$2180/m Estimated Rental Value,,,,
"$527,000","Peabody St Nw, Washington, DC 20011",$3260/m Estimated Rental Value,8 bed,4 bath,"3,180 sqft.",Multi-Family
"$786,176","Hillside Rd Se, Washington, DC 20019",$1660/m Estimated Rental Value,,,,
"$636,000","T St Nw, Washington, DC 20001",$2860/m Estimated Rental Value,4 bed,2 bath,"1,985 sqft.",Multi-Family
"$240,636","New Hampshire Ave Nw A..., Washington, DC 20009",$1910/m Estimated Rental Value,,,,
,"New Jersey Ave Se # 1120, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$463,920","Oakwood St Se, Washington, DC 20032",$1870/m Estimated Rental Value,2 bed,1 bath,"1,208 sqft.",Single-Family
"$723,726","Hamlin St Ne, Washington, DC 20017",$2500/m Estimated Rental Value,2 bed,1.5 bath,"1,324 sqft.",Single-Family
,"16th St Nw Apt 605, Washington, DC 20009",*Rental Value Coming Soon,,,,
"$672,432","Newton Pl Nw, Washington, DC 20010",$2500/m Estimated Rental Value,2 bed,1 bath,"1,320 sqft.",Single-Family
,"Mccollough Ct Nw Apt 401, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$346,000","Connecticut Ave Nw, Washington, DC 20008",$2170/m Estimated Rental Value,,,,
,"Webster St Ne Apt 204, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$1,214,376","Sycamore St Nw, Washington, DC 20012",$3800/m Estimated Rental Value,3 bed,4 bath,"2,263 sqft.",Single-Family
,"K St Ne # 110, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"I St Ne, Ste 100, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"15th St Nw Ste 900, Washington, DC 20005",*Rental Value Coming Soon,,,,
,"Mississippi Ave Se # 207, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Kenyon St Nw Apt 401, Washington, DC 20010",*Rental Value Coming Soon,,,,
"$318,125","Good Hope Rd Se, Washington, DC 20020",$1580/m Estimated Rental Value,3 bed,1 bath,"1,080 sqft.",Single-Family
,"17th St Nw Apt B1, Washington, DC 20036",*Rental Value Coming Soon,,,,
,"E St Se Apt 2, Washington, DC 20019",*Rental Value Coming Soon,,,,
,"Connecticut Ave Nw Ste..., Washington, DC 20015",*Rental Value Coming Soon,,,,
,"Savannah St Se, Apt 4, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$906,035","S Dakota Ave Ne, Washington, DC 20018",$3770/m Estimated Rental Value,6 bed,2.5 bath,"3,280 sqft.",Single-Family
,"Chillum Pl Ne Apt G1, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$295,362","Fort Dupont St Se, Washington, DC 20020",$1550/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Single-Family
,"20th St Ne Apt 11, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$259,900","Cathedral Ave Nw Apt 108, Washington, DC 20016",$1770/m Estimated Rental Value,1 bed,1 bath,765 sqft.,Condo
"$344,714","Foote St Ne, Washington, DC 20019",$1720/m Estimated Rental Value,3 bed,1 bath,"1,000 sqft.",Single-Family
,"Georgia Ave Nw, Washington, DC 20010",*Rental Value Coming Soon,,,,
,"Chapin St Nw # 1, Washington, DC 20009",*Rental Value Coming Soon,2 bed,1 bath,764 sqft.,Condo
"$107,977","C St Se Apt 301, Washington, DC 20019",$1388/m Estimated Rental Value,2 bed,1 bath,635 sqft.,Condo
"$232,345","8th St Se Apt 6, Washington, DC 20032",$1291/m Estimated Rental Value,1 bed,1 bath,537 sqft.,Condo
"$409,052","Danbury St Sw, Washington, DC 20032",$1500/m Estimated Rental Value,3 bed,4 bath,"1,152 sqft.",Townhome
,"Barnaby St Se, Washington, DC 20032",*Rental Value Coming Soon,3 bed,2.5 bath,0 sqft.,Single-Family
"$1,131,346","Adams St Ne, Washington, DC 20018",$3360/m Estimated Rental Value,4 bed,4 bath,"3,360 sqft.",Multi-Family
,"K St Nw Ste 300, Washington, DC 20006",*Rental Value Coming Soon,,,,
"$291,272","Jay St Ne, Washington, DC 20019",$1620/m Estimated Rental Value,2 bed,1 bath,776 sqft.,Single-Family
"$92,660","C St Se Apt 103, Washington, DC 20019",$1388/m Estimated Rental Value,1 bed,1 bath,502 sqft.,Condo
,"Hawthorne Ct Ne, Washington, DC 20017",*Rental Value Coming Soon,1 bed,1 bath,602 sqft.,Condo
"$851,786","Vermont Ave Nw, Washington, DC 20001",$2900/m Estimated Rental Value,3 bed,2 bath,"1,614 sqft.",Townhome
"$107,977","C St Se Apt 201, Washington, DC 20019",$1388/m Estimated Rental Value,2 bed,1 bath,635 sqft.,Condo
,"Trenton Pl Se, Washington, DC 20032",*Rental Value Coming Soon,4 bed,4 bath,"1,872 sqft.",Townhome
"$343,821","28th St Se, Washington, DC 20020",$2080/m Estimated Rental Value,3 bed,4 bath,"1,200 sqft.",Single-Family
"$364,228","P St Se, Washington, DC 20020",$1580/m Estimated Rental Value,2 bed,1 bath,"1,216 sqft.",Single-Family
,"Hawthorne Ct Ne, Washington, DC 20017",*Rental Value Coming Soon,1 bed,1 bath,,Condo
"$92,660","C St Se Apt 103, Washington, DC 20019",$1388/m Estimated Rental Value,,,,
"$107,977","C St Se Apt 201, Washington, DC 20019",$1388/m Estimated Rental Value,,,,
"$1,158,000","Chapin St Nw, Washington, DC 20009",$3230/m Estimated Rental Value,6 bed,3.5 bath,"2,706 sqft.",Multi-Family
"$107,977","C St Se Apt 301, Washington, DC 20019",$1388/m Estimated Rental Value,,,,
"$436,812","Pope St Se, Washington, DC 20020",$2070/m Estimated Rental Value,3 bed,3 bath,"1,088 sqft.",Single-Family
"$768,790","Owen Pl Ne, Washington, DC 20002",$1890/m Estimated Rental Value,3 bed,1 bath,"1,310 sqft.",Townhome
"$249,700","K St Nw Unit 920, Washington, DC 20001",*Rental Value Coming Soon,1 bed,1 bath,729 sqft.,Condo
"$508,725","New York Ave Nw Apt 402, Washington, DC 20001",$2200/m Estimated Rental Value,2 bed,1 bath,842 sqft.,Condo
"$654,000","Jefferson St Nw, Washington, DC 20011",$2780/m Estimated Rental Value,6 bed,5 bath,"1,450 sqft.",Multi-Family
"$841,500","15th St Ne, Washington, DC 20002",$2650/m Estimated Rental Value,4 bed,2 bath,"1,188 sqft.",Townhome
"$851,786","7th St Nw, Washington, DC 20011",$2260/m Estimated Rental Value,3 bed,2 bath,"1,296 sqft.",Townhome
"$308,723","Grant St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,2 bath,"1,152 sqft.",Single-Family
"$261,768","Georgia Ave Nw Apt 308, Washington, DC 20012",$1620/m Estimated Rental Value,1 bed,1 bath,606 sqft.,Condo
"$277,000","Holbrook Ter Ne, Washington, DC 20002",$2040/m Estimated Rental Value,8 bed,4 bath,"3,164 sqft.",Multi-Family
"$1,301,966","Warren St Nw, Washington, DC 20016",$4690/m Estimated Rental Value,5 bed,4 bath,"2,235 sqft.",Single-Family
"$240,247","Halley Pl Se Apt 204, Washington, DC 20032",$1311/m Estimated Rental Value,,,,
"$4,280,769","21st Pl Se, Washington, DC 20020",$1950/m Estimated Rental Value,4 bed,4 bath,"2,800 sqft.",Multi-Family
,"8th St S 6, Washington, DC 20032",*Rental Value Coming Soon,1 bed,1 bath,,Condo
,"Barnaby St Se # A, Washington, DC 20032",*Rental Value Coming Soon,3 bed,2.5 bath,"1,664 sqft.",Single-Family
"$1,131,346","Adams St Ne, Washington, DC 20018",$3360/m Estimated Rental Value,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$409,052","Danbury St Sw, Washington, DC 20032",$1500/m Estimated Rental Value,3 bed,3 bath,"1,152 sqft.",Condo
"$407,997","Perry St Ne, Washington, DC 20018",$2340/m Estimated Rental Value,3 bed,1 bath,"1,140 sqft.",Single-Family
"$240,247","Halley Pl Se Apt 204, Washington, DC 20032",$1311/m Estimated Rental Value,3 bed,1 bath,934 sqft.,Condo
"$4,280,769","21st Pl Se, Washington, DC 20020",$1950/m Estimated Rental Value,4 bed,4 bath,"14,137 sqft.",Multi-Family
"$467,478","Connecticut Ave Nw Apt T6, Washington, DC 20008",$2130/m Estimated Rental Value,1 bed,1 bath,707 sqft.,Condo
,"8th St, Se, Unit #6, Washington, DC 20032",*Rental Value Coming Soon,1 bed,1 bath,,Condo
,"Adams Street Ne, Washington, DC 20018",*Rental Value Coming Soon,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$409,052","Danbury St Sw, Washington, DC 20032",$1500/m Estimated Rental Value,,,,
,"Barnaby Street Se, Washington, DC 20032",*Rental Value Coming Soon,3 bed,2.5 bath,"1,664 sqft.",Single-Family
,"14th St Nw, Washington, DC 20011",*Rental Value Coming Soon,,,0 sqft.,Condo
"$404,975","New York Ave Nw Apt 304, Washington, DC 20001",$1880/m Estimated Rental Value,1 bed,1 bath,,Condo
"$780,865","Morse St Ne, Washington, DC 20002",$1880/m Estimated Rental Value,3 bed,2 bath,"1,836 sqft.",Townhome
"$508,725","New York Ave Nw Apt 402, Washington, DC 20001",$2200/m Estimated Rental Value,2 bed,1 bath,842 sqft.,Condo
"$768,790","Owen Pl Ne, Washington, DC 20002",$1890/m Estimated Rental Value,3 bed,1 bath,"1,310 sqft.",Townhome
"$841,500","15th St Ne, Washington, DC 20002",$2650/m Estimated Rental Value,4 bed,2 bath,"1,188 sqft.",Townhome
,"K St Nw, Washington, DC 20005",*Rental Value Coming Soon,,,,
"$436,812","Pope St Se, Washington, DC 20020",$2070/m Estimated Rental Value,3 bed,2 bath,"2,176 sqft.",Single-Family
"$249,700","K St Nw Unit 920, Washington, DC 20001",*Rental Value Coming Soon,,,,Condo
"$654,000","Jefferson St Nw, Washington, DC 20011",$2780/m Estimated Rental Value,6 bed,5 bath,"1,280 sqft.",Single-Family
,"14th Street Nw, Washington, DC 20011",*Rental Value Coming Soon,,,,Condo
"$468,752","Southern Ave Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,2 bath,"1,802 sqft.",Single-Family
,"14th St Nw, Washington, DC 20011",*Rental Value Coming Soon,1 bed,1 bath,,Condo
"$407,997","Perry St Ne, Washington, DC 20018",$2340/m Estimated Rental Value,3 bed,1 bath,"1,140 sqft.",Single-Family
"$467,478","Connecticut Ave Nw Apt T6, Washington, DC 20008",$2130/m Estimated Rental Value,,,,Condo
"$665,000","Monroe St Nw, Washington, DC 20010",*Rental Value Coming Soon,2 bed,2 bath,,
,"Barnaby Street Se, Washington, DC 20032",*Rental Value Coming Soon,3 bed,2.5 bath,"1,664 sqft.",Single-Family
"$315,512","Barnaby St Se, Washington, DC 20032",$1380/m Estimated Rental Value,3 bed,2.5 bath,"1,664 sqft.",Single-Family
"$261,768","Georgia Ave Nw Apt 308, Washington, DC 20012",$1620/m Estimated Rental Value,1 bed,1 bath,,Condo
"$1,301,966","Warren St Nw, Washington, DC 20016",$4690/m Estimated Rental Value,5 bed,3.5 bath,"2,233 sqft.",Single-Family
"$308,723","Grant St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1 bath,"1,152 sqft.",Single-Family
"$851,786","Vermont Ave Nw, Washington, DC 20001",$2900/m Estimated Rental Value,3 bed,1.5 bath,"1,614 sqft.",Townhome
,"Trenton Pl Se, Washington, DC 20032",*Rental Value Coming Soon,,,,Single-Family
"$1,183,992","Connecticut Ave Nw, Washington, DC 20008",$5220/m Estimated Rental Value,,,,Multi-Family
"$265,000","Cathedral Ave Nw #e506, Washington, DC 20016",*Rental Value Coming Soon,1 bed,1 bath,,
,"Trenton Pl Se, Washington, DC 20032",*Rental Value Coming Soon,4 bed,3.5 bath,"1,872 sqft.",Single-Family
"$240,247","Halley Pl Se Apt 204, Washington, DC 20032",$1311/m Estimated Rental Value,3 bed,1 bath,934 sqft.,Condo
,"Fort Lincoln Dr Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$851,786","7th St Nw, Washington, DC 20011",$2260/m Estimated Rental Value,3 bed,2 bath,"1,116 sqft.",Single-Family
"$277,000","Holbrook Ter Ne, Washington, DC 20002",$2040/m Estimated Rental Value,8 bed,4 bath,"3,164 sqft.",
